No,No,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
60,95,2008,1,3,4,1506,1440,2030,2010,WN,2032,N271WN,204,210,183,20,26,LAS,BNA,1588,6,15,0,N,0,18,0,0,0,2
61,96,2008,1,3,4,2039,1930,155,55,WN,3940,N434WN,196,205,177,60,69,LAS,BNA,1588,5,14,0,N,0,0,0,22,0,38
62,98,2008,1,3,4,1611,1535,1849,1825,WN,538,N619SW,98,110,73,24,36,LAS,BOI,520,3,22,0,N,0,9,0,0,0,15
63,99,2008,1,3,4,1824,1715,117,25,WN,2383,N290WN,233,250,221,52,69,LAS,BUF,1987,2,10,0,N,0,48,0,0,0,4
64,101,2008,1,3,4,2118,2015,2224,2115,WN,219,N383SW,66,60,46,69,63,LAS,BUR,223,3,17,0,N,0,17,0,6,0,46
65,102,2008,1,3,4,1818,1740,1916,1840,WN,391,N608SW,58,60,46,36,38,LAS,BUR,223,2,10,0,N,0,20,0,0,0,16
66,104,2008,1,3,4,2146,2055,2250,2155,WN,815,N626SW,64,60,48,55,51,LAS,BUR,223,3,13,0,N,0,4,0,4,0,47
67,105,2008,1,3,4,2241,1910,2340,2010,WN,1072,N369SW,59,60,43,210,211,LAS,BUR,223,3,13,0,N,0,114,0,0,0,96
71,109,2008,1,3,4,1726,1630,1832,1740,WN,2284,N409WN,66,70,46,52,56,LAS,BUR,223,2,18,0,N,0,1,0,0,0,51
72,111,2008,1,3,4,1229,1220,1342,1325,WN,2874,N695SW,73,65,47,17,9,LAS,BUR,223,2,24,0,N,0,9,0,8,0,0
73,113,2008,1,3,4,908,845,1628,1610,WN,1774,N220WN,260,265,244,18,23,LAS,BWI,2106,6,10,0,N,0,18,0,0,0,0
74,114,2008,1,3,4,1817,1730,122,50,WN,2632,N784SW,245,260,230,32,47,LAS,BWI,2106,5,10,0,N,0,7,0,0,0,25
76,117,2008,1,3,4,1849,1740,121,30,WN,564,N455WN,212,230,195,51,69,LAS,CMH,1772,2,15,0,N,0,10,0,0,0,41
77,118,2008,1,3,4,1210,1200,1905,1850,WN,991,N297WN,235,230,201,15,10,LAS,CMH,1772,6,28,0,N,0,10,0,5,0,0
79,121,2008,1,3,4,2232,2115,108,5,WN,632,N203WN,96,110,77,63,77,LAS,DEN,629,6,13,0,N,0,0,0,7,0,56
80,122,2008,1,3,4,1512,1315,1802,1610,WN,706,N491WN,110,115,88,112,117,LAS,DEN,629,8,14,0,N,0,0,0,0,0,112
81,123,2008,1,3,4,2025,1955,2301,2245,WN,908,N480WN,96,110,78,16,30,LAS,DEN,629,6,12,0,N,0,7,0,0,0,9
83,125,2008,1,3,4,1627,1600,1916,1900,WN,2907,N647SW,109,120,80,16,27,LAS,DEN,629,8,21,0,N,0,2,0,0,0,14
84,126,2008,1,3,4,1745,1710,2017,1945,WN,2192,N313SW,92,95,78,32,35,LAS,ELP,584,2,12,0,N,0,10,0,0,0,22
87,129,2008,1,3,4,1725,1620,1940,1850,WN,2803,N660SW,135,150,116,50,65,LAS,GEG,806,4,15,0,N,0,50,0,0,0,0
88,130,2008,1,3,4,1824,1735,2303,2230,WN,719,N414WN,159,175,143,33,49,LAS,HOU,1235,3,13,0,N,0,12,0,0,0,21
91,133,2008,1,3,4,2051,2010,134,55,WN,3746,N321SW,163,165,150,39,41,LAS,HOU,1235,4,9,0,N,0,17,0,0,0,22
92,134,2008,1,3,4,1555,1525,2307,2245,WN,1027,N230WN,252,260,232,22,30,LAS,IAD,2066,7,13,0,N,0,6,0,0,0,16
93,135,2008,1,3,4,2255,1820,509,55,WN,1924,N761RR,194,215,176,254,275,LAS,IND,1591,9,9,0,N,0,0,0,0,8,246
94,136,2008,1,3,4,1129,1050,1757,1725,WN,3920,N464WN,208,215,179,32,39,LAS,IND,1591,8,21,0,N,0,32,0,0,0,0
95,137,2008,1,3,4,1602,1510,2357,2255,WN,3144,N272WN,295,285,269,62,52,LAS,ISP,2283,4,22,0,N,0,13,0,10,0,39
96,138,2008,1,3,4,1738,1715,1838,1820,WN,82,N499WN,60,65,42,18,23,LAS,LAX,236,6,12,0,N,0,0,0,0,12,6
98,140,2008,1,3,4,1851,1825,2004,1930,WN,317,N335SW,73,65,41,34,26,LAS,LAX,236,16,16,0,N,0,18,0,8,0,8
99,141,2008,1,3,4,701,645,802,745,WN,337,N488WN,61,60,42,17,16,LAS,LAX,236,7,12,0,N,0,16,0,1,0,0
100,142,2008,1,3,4,1556,1455,1704,1600,WN,354,N496WN,68,65,41,64,61,LAS,LAX,236,9,18,0,N,0,61,0,3,0,0
101,145,2008,1,3,4,1540,1525,1648,1630,WN,1061,N422WN,68,65,47,18,15,LAS,LAX,236,5,16,0,N,0,10,0,3,0,5
102,147,2008,1,3,4,1228,1200,1340,1310,WN,1928,N792SW,72,70,43,30,28,LAS,LAX,236,7,22,0,N,0,0,0,2,0,28
103,148,2008,1,3,4,2047,2005,2209,2115,WN,2367,N352SW,82,70,45,54,42,LAS,LAX,236,7,30,0,N,0,15,0,12,0,27
104,149,2008,1,3,4,2158,2120,2303,2225,WN,2896,N335SW,65,65,44,38,38,LAS,LAX,236,11,10,0,N,0,13,0,0,0,25
105,152,2008,1,3,4,1147,1100,1541,1500,WN,2382,N404WN,114,120,90,41,47,LAS,LBB,775,4,20,0,N,0,25,0,0,0,16
107,154,2008,1,3,4,1140,1110,1537,1510,WN,43,N617SW,117,120,95,27,30,LAS,MAF,796,2,20,0,N,0,27,0,0,0,0
108,155,2008,1,3,4,1226,1210,1721,1700,WN,213,N302SW,175,170,139,21,16,LAS,MCI,1140,4,32,0,N,0,1,0,5,0,15
109,156,2008,1,3,4,2118,2005,154,50,WN,411,N763SW,156,165,131,64,73,LAS,MCI,1140,7,18,0,N,0,14,0,0,0,50
110,157,2008,1,3,4,2003,1905,26,2350,WN,1004,N676SW,143,165,130,36,58,LAS,MCI,1140,5,8,0,N,0,4,0,0,0,32
111,158,2008,1,3,4,1622,1510,2059,2000,WN,1405,N775SW,157,170,130,59,72,LAS,MCI,1140,4,23,0,N,0,59,0,0,0,0
114,162,2008,1,3,4,1506,1500,2122,2030,WN,74,N764SW,256,210,177,52,6,LAS,MDW,1521,62,17,0,N,0,6,0,46,0,0
116,166,2008,1,3,4,1211,1145,1750,1720,WN,693,N232WN,219,215,175,30,26,LAS,MDW,1521,23,21,0,N,0,0,0,4,0,26
119,170,2008,1,3,4,1919,1845,31,5,WN,2025,N740SW,192,200,171,26,34,LAS,MDW,1521,8,13,0,N,0,4,0,0,0,22
120,171,2008,1,3,4,1945,1815,52,2335,WN,2450,N405WN,187,200,168,77,90,LAS,MDW,1521,8,11,0,N,0,13,0,0,0,64
121,172,2008,1,3,4,2057,1930,202,50,WN,2794,N468WN,185,200,171,72,87,LAS,MDW,1521,7,7,0,N,0,60,0,0,0,12
122,173,2008,1,3,4,1354,1310,1907,1845,WN,3232,N201LV,193,215,177,22,44,LAS,MDW,1521,6,10,0,N,0,4,0,0,0,18
124,176,2008,1,3,4,1903,1825,5,2340,WN,3327,N282WN,182,195,166,25,38,LAS,MSY,1501,4,12,0,N,0,3,0,0,0,22
126,180,2008,1,3,4,1944,1740,2110,1915,WN,223,N223WN,86,95,72,115,124,LAS,OAK,407,5,9,0,N,0,21,0,0,0,94
127,181,2008,1,3,4,1251,1205,1425,1345,WN,237,N281WN,94,100,76,40,46,LAS,OAK,407,3,15,0,N,0,2,0,0,0,38
128,182,2008,1,3,4,1548,1505,1728,1635,WN,280,N460WN,100,90,78,53,43,LAS,OAK,407,4,18,0,N,0,14,0,10,0,29
129,184,2008,1,3,4,2216,2125,2348,2255,WN,900,N679AA,92,90,78,53,51,LAS,OAK,407,4,10,0,N,0,11,0,2,0,40
130,185,2008,1,3,4,2010,1900,2203,2030,WN,962,N378SW,113,90,77,93,70,LAS,OAK,407,28,8,0,N,0,45,0,23,0,25
133,189,2008,1,3,4,2035,2020,2209,2150,WN,3135,N695SW,94,90,81,19,15,LAS,OAK,407,3,10,0,N,0,15,0,4,0,0
135,192,2008,1,3,4,1435,1315,1859,1755,WN,479,N622SW,144,160,132,64,80,LAS,OMA,1099,3,9,0,N,0,38,0,0,0,26
136,193,2008,1,3,4,2049,1920,106,2355,WN,875,N217JC,137,155,125,71,89,LAS,OMA,1099,2,10,0,N,0,32,0,0,0,39
137,196,2008,1,3,4,2015,1945,2101,2040,WN,725,N259WN,46,55,34,21,30,LAS,ONT,197,4,8,0,N,0,3,0,0,0,18
138,199,2008,1,3,4,1102,1030,1152,1125,WN,906,N301SW,50,55,36,27,32,LAS,ONT,197,3,11,0,N,0,27,0,0,0,0
139,200,2008,1,3,4,2218,2120,2308,2210,WN,1493,N356SW,50,50,36,58,58,LAS,ONT,197,5,9,0,N,0,0,0,20,0,38
141,202,2008,1,3,4,1230,1215,1331,1310,WN,2018,N313SW,61,55,36,21,15,LAS,ONT,197,4,21,0,N,0,0,0,6,0,15
142,203,2008,1,3,4,1838,1800,1930,1855,WN,2730,N273WN,52,55,32,35,38,LAS,ONT,197,3,17,0,N,0,0,0,0,0,35
143,204,2008,1,3,4,1358,1330,1449,1425,WN,3070,N660SW,51,55,37,24,28,LAS,ONT,197,4,10,0,N,0,4,0,0,0,20
144,205,2008,1,3,4,1757,1655,108,25,WN,156,N466WN,251,270,237,43,62,LAS,ORF,2155,4,10,0,N,0,13,0,0,0,30
146,208,2008,1,3,4,1328,1255,1549,1520,WN,2354,N258WN,141,145,106,29,33,LAS,PDX,762,22,13,0,N,0,24,0,0,0,5
147,209,2008,1,3,4,2134,2040,2343,2300,WN,2550,N608SW,129,140,112,43,54,LAS,PDX,762,3,14,0,N,0,12,0,0,0,31
148,210,2008,1,3,4,1127,1045,1856,1835,WN,1285,N435WN,269,290,245,21,42,LAS,PHL,2176,5,19,0,N,0,18,0,0,0,3
150,213,2008,1,3,4,712,705,932,915,WN,243,N228WN,80,70,49,17,7,LAS,PHX,256,7,24,0,N,0,0,0,10,0,7
153,216,2008,1,3,4,1807,1740,2011,1950,WN,559,N603SW,64,70,49,21,27,LAS,PHX,256,5,10,0,N,0,2,0,0,0,19
154,217,2008,1,3,4,1712,1545,1914,1750,WN,668,N221WN,62,65,48,84,87,LAS,PHX,256,4,10,0,N,0,6,0,0,0,78
155,219,2008,1,3,4,1134,1110,1343,1315,WN,781,N378SW,69,65,46,28,24,LAS,PHX,256,8,15,0,N,0,9,0,4,0,15
156,222,2008,1,3,4,2156,2110,2353,2310,WN,1403,N258WN,57,60,43,43,46,LAS,PHX,256,5,9,0,N,0,2,0,0,0,41
157,223,2008,1,3,4,2140,2040,2334,2240,WN,1682,N281WN,54,60,40,54,60,LAS,PHX,256,3,11,0,N,0,2,0,0,0,52
158,225,2008,1,3,4,1521,1450,1725,1655,WN,2726,N777QC,64,65,46,30,31,LAS,PHX,256,5,13,0,N,0,16,0,0,0,14
159,226,2008,1,3,4,2100,1945,2255,2150,WN,2991,N752SW,55,65,43,65,75,LAS,PHX,256,4,8,0,N,0,48,0,0,0,17
160,227,2008,1,3,4,1657,1630,1905,1845,WN,3517,N487WN,68,75,49,20,27,LAS,PHX,256,5,14,0,N,0,2,0,0,0,18
162,230,2008,1,3,4,1825,1745,114,50,WN,512,N794SW,229,245,210,24,40,LAS,PIT,1910,6,13,0,N,0,10,0,0,0,14
164,232,2008,1,3,4,1630,1600,23,2350,WN,416,N401WN,293,290,266,33,30,LAS,PVD,2363,4,23,0,N,0,6,0,3,0,24
166,234,2008,1,3,4,1824,1725,121,45,WN,1509,N403WN,237,260,222,36,59,LAS,RDU,2027,2,13,0,N,0,27,0,0,0,9
167,235,2008,1,3,4,1716,1630,1830,1755,WN,239,N267WN,74,85,60,35,46,LAS,RNO,345,4,10,0,N,0,11,0,0,0,24
168,236,2008,1,3,4,1928,1855,2034,2015,WN,298,N450WN,66,80,54,19,33,LAS,RNO,345,4,8,0,N,0,9,0,0,0,10
169,238,2008,1,3,4,1741,1730,1905,1850,WN,675,N286WN,84,80,57,15,11,LAS,RNO,345,14,13,0,N,0,0,0,4,0,11
170,239,2008,1,3,4,1609,1540,1732,1700,WN,709,N428WN,83,80,55,32,29,LAS,RNO,345,7,21,0,N,0,26,0,3,0,3
171,240,2008,1,3,4,913,840,1029,955,WN,891,N400WN,76,75,61,34,33,LAS,RNO,345,3,12,0,N,0,8,0,1,0,25
172,241,2008,1,3,4,2215,2200,2334,2315,WN,1341,N442WN,79,75,57,19,15,LAS,RNO,345,4,18,0,N,0,6,0,4,0,9
173,242,2008,1,3,4,2137,2040,2251,2155,WN,2273,N286WN,74,75,56,56,57,LAS,RNO,345,4,14,0,N,0,0,0,0,0,56
174,244,2008,1,3,4,1100,1020,1210,1145,WN,2719,N466WN,70,85,54,25,40,LAS,RNO,345,4,12,0,N,0,0,0,1,0,24
175,245,2008,1,3,4,1313,1255,1437,1415,WN,3430,N487WN,84,80,57,22,18,LAS,RNO,345,4,23,0,N,0,8,0,4,0,10
176,246,2008,1,3,4,1415,1350,1527,1510,WN,3835,N610WN,72,80,56,17,25,LAS,RNO,345,4,12,0,N,0,9,0,0,0,8
177,248,2008,1,3,4,1348,1330,1455,1435,WN,341,N315SW,67,65,51,20,18,LAS,SAN,258,2,14,0,N,0,8,0,2,0,10
178,250,2008,1,3,4,2140,2050,2240,2150,WN,708,N692SW,60,60,45,50,50,LAS,SAN,258,3,12,0,N,0,21,0,0,0,29
179,252,2008,1,3,4,1643,1625,1751,1735,WN,715,N902WN,68,70,46,16,18,LAS,SAN,258,4,18,0,N,0,4,0,0,0,12
182,255,2008,1,3,4,1839,1740,1945,1840,WN,2186,N692SW,66,60,44,65,59,LAS,SAN,258,4,18,0,N,0,5,0,6,0,54
183,256,2008,1,3,4,2207,2125,2307,2225,WN,2211,N646SW,60,60,49,42,42,LAS,SAN,258,3,8,0,N,0,17,0,0,0,25
184,257,2008,1,3,4,1503,1425,1604,1530,WN,2357,N414WN,61,65,48,34,38,LAS,SAN,258,3,10,0,N,0,9,0,0,0,25
185,258,2008,1,3,4,1613,1515,1727,1615,WN,2363,N405WN,74,60,47,72,58,LAS,SAN,258,3,24,0,N,0,0,0,19,0,53
186,259,2008,1,3,4,2248,2155,2346,2255,WN,2449,N454WN,58,60,45,51,53,LAS,SAN,258,3,10,0,N,0,12,0,0,0,39
189,263,2008,1,3,4,2022,1935,36,5,WN,802,N902WN,134,150,122,31,47,LAS,SAT,1069,2,10,0,N,0,23,0,0,0,8
191,266,2008,1,3,4,1831,1810,110,45,WN,495,N768SW,219,215,192,25,21,LAS,SDF,1624,9,18,0,N,0,18,0,4,0,3
195,271,2008,1,3,4,1426,1355,1605,1530,WN,488,N615SW,99,95,75,35,31,LAS,SFO,414,3,21,0,N,0,0,0,22,0,13
196,272,2008,1,3,4,1009,910,1148,1045,WN,619,N491WN,99,95,76,63,59,LAS,SFO,414,3,20,0,N,0,0,0,54,0,9
197,273,2008,1,3,4,2021,1700,2303,1835,WN,2005,N302SW,162,95,73,268,201,LAS,SFO,414,4,85,0,N,0,192,0,67,0,9
198,274,2008,1,3,4,2025,1905,2208,2040,WN,2788,N602SW,103,95,88,88,80,LAS,SFO,414,4,11,0,N,0,0,0,63,0,25
199,276,2008,1,3,4,2301,2105,59,2240,WN,3061,N447WN,118,95,98,139,116,LAS,SFO,414,4,16,0,N,0,0,0,131,0,8
200,277,2008,1,3,4,1518,1215,1646,1350,WN,3575,N492WN,88,95,72,176,183,LAS,SFO,414,4,12,0,N,0,0,0,176,0,0
201,278,2008,1,3,4,1307,1235,1432,1400,WN,12,N361SW,85,85,71,32,32,LAS,SJC,386,4,10,0,N,0,4,0,0,0,28
202,280,2008,1,3,4,2017,1945,2144,2105,WN,400,N429WN,87,80,70,39,32,LAS,SJC,386,4,13,0,N,0,2,0,7,0,30
203,282,2008,1,3,4,2114,2040,2241,2200,WN,774,N437WN,87,80,69,41,34,LAS,SJC,386,8,10,0,N,0,34,0,7,0,0
204,283,2008,1,3,4,1605,1520,1739,1645,WN,783,N306SW,94,85,68,54,45,LAS,SJC,386,5,21,0,N,0,10,0,9,0,35
205,286,2008,1,3,4,1734,1655,1857,1820,WN,3844,N446WN,83,85,66,37,39,LAS,SJC,386,5,12,0,N,0,9,0,0,0,28
206,287,2008,1,3,4,1139,1100,1408,1320,WN,161,N455WN,89,80,54,48,39,LAS,SLC,368,6,29,0,N,0,39,0,9,0,0
207,288,2008,1,3,4,2104,1905,2314,2120,WN,415,N395SW,70,75,58,114,119,LAS,SLC,368,2,10,0,N,0,25,0,0,0,89
208,289,2008,1,3,4,919,830,1132,1050,WN,643,N756SA,73,80,55,42,49,LAS,SLC,368,4,14,0,N,0,3,0,0,0,39
209,290,2008,1,3,4,2113,2050,2328,2305,WN,1166,N351SW,75,75,58,23,23,LAS,SLC,368,3,14,0,N,0,4,0,0,0,19
210,291,2008,1,3,4,1712,1555,1935,1820,WN,1585,N766SW,83,85,62,75,77,LAS,SLC,368,4,17,0,N,0,0,0,6,0,69
212,293,2008,1,3,4,2242,2140,54,2355,WN,2533,N385SW,72,75,55,59,62,LAS,SLC,368,4,13,0,N,0,0,0,10,0,49
213,295,2008,1,3,4,1949,1910,2110,2035,WN,94,N715SW,81,85,66,35,39,LAS,SMF,397,5,10,0,N,0,25,0,0,0,10
214,296,2008,1,3,4,1409,1350,1539,1520,WN,584,N324SW,90,90,74,19,19,LAS,SMF,397,6,10,0,N,0,19,0,0,0,0
215,298,2008,1,3,4,1821,1730,1946,1855,WN,641,N626SW,85,85,67,51,51,LAS,SMF,397,6,12,0,N,0,9,0,0,0,42
220,305,2008,1,3,4,1917,1820,2014,1925,WN,433,N264LV,57,65,40,49,57,LAS,SNA,226,7,10,0,N,0,16,0,0,0,33
221,306,2008,1,3,4,1125,1010,1224,1110,WN,1016,N765SW,59,60,45,74,75,LAS,SNA,226,5,9,0,N,0,9,0,0,0,65
222,309,2008,1,3,4,1143,1050,1641,1600,WN,773,N472WN,178,190,151,41,53,LAS,STL,1372,3,24,0,N,0,2,0,0,0,39
224,311,2008,1,3,4,1940,1855,29,2355,WN,1583,N600WN,169,180,157,34,45,LAS,STL,1372,3,9,0,N,0,22,0,0,0,12
225,312,2008,1,3,4,1820,1725,112,35,WN,3403,N737JW,232,250,217,37,55,LAS,TPA,1984,5,10,0,N,0,29,0,0,0,8
226,313,2008,1,3,4,1143,1035,1621,1505,WN,574,N314SW,158,150,126,76,68,LAS,TUL,1076,3,29,0,N,0,0,0,14,0,62
227,314,2008,1,3,4,2211,2115,17,2330,WN,486,N264LV,66,75,53,47,56,LAS,TUS,365,4,9,0,N,0,5,0,0,0,42
228,315,2008,1,3,4,1821,1725,2032,1940,WN,637,N342SW,71,75,56,52,56,LAS,TUS,365,4,11,0,N,0,24,0,0,0,28
229,317,2008,1,3,4,1341,1320,1556,1535,WN,1918,N267WN,75,75,55,21,21,LAS,TUS,365,3,17,0,N,0,8,0,0,0,13
230,318,2008,1,3,4,2108,2030,2313,2240,WN,3142,N446WN,65,70,53,33,38,LAS,TUS,365,4,8,0,N,0,8,0,0,0,25
231,319,2008,1,3,4,1118,1050,1333,1305,WN,3572,N489WN,75,75,54,28,28,LAS,TUS,365,3,18,0,N,0,0,0,0,0,28
232,320,2008,1,3,4,1735,1710,2010,1955,WN,230,N364SW,95,105,81,15,25,LAX,ABQ,677,4,10,0,N,0,0,0,4,0,11
233,321,2008,1,3,4,2105,2025,2342,2310,WN,361,N690SW,97,105,82,32,40,LAX,ABQ,677,6,9,0,N,0,0,0,11,0,21
236,326,2008,1,3,4,1632,1540,2207,2125,WN,1107,N708SA,215,225,203,42,52,LAX,BNA,1797,4,8,0,N,0,0,0,18,0,24
237,327,2008,1,3,4,1327,1255,1902,1840,WN,1324,N249WN,215,225,200,22,32,LAX,BNA,1797,4,11,0,N,0,10,0,0,0,12
239,329,2008,1,3,4,1925,1735,2201,2025,WN,1671,N684WN,96,110,85,96,110,LAX,ELP,714,3,8,0,N,0,5,0,0,0,91
240,330,2008,1,3,4,1005,945,1250,1235,WN,2635,N335SW,105,110,88,15,20,LAX,ELP,714,3,14,0,N,0,7,0,0,0,8
241,332,2008,1,3,4,1742,1625,2231,2125,WN,528,N496WN,169,180,157,66,77,LAX,HOU,1390,4,8,0,N,0,11,0,0,0,55
242,334,2008,1,3,4,2020,1935,109,35,WN,3394,N667SW,169,180,159,34,45,LAX,HOU,1390,3,7,0,N,0,6,0,0,0,28
243,335,2008,1,3,4,1501,1425,1554,1530,WN,416,N401WN,53,65,41,24,36,LAX,LAS,236,4,8,0,N,0,18,0,0,0,6
244,336,2008,1,3,4,1205,1135,1313,1240,WN,479,N622SW,68,65,47,33,30,LAX,LAS,236,3,18,0,N,0,16,0,3,0,14
246,338,2008,1,3,4,922,855,1102,1000,WN,574,N314SW,100,65,44,62,27,LAX,LAS,236,4,52,0,N,0,13,0,35,0,14
247,339,2008,1,3,4,1835,1740,1931,1840,WN,1004,N676SW,56,60,42,51,55,LAX,LAS,236,6,8,0,N,0,0,0,4,0,47
248,340,2008,1,3,4,1027,1015,1151,1120,WN,1079,N351SW,84,65,43,31,12,LAX,LAS,236,22,19,0,N,0,11,0,19,0,1
249,343,2008,1,3,4,1910,1845,2026,1950,WN,2021,N499WN,76,65,42,36,25,LAX,LAS,236,25,9,0,N,0,7,0,11,0,18
251,346,2008,1,3,4,2237,2140,2335,2245,WN,2454,N352SW,58,65,47,50,57,LAX,LAS,236,3,8,0,N,0,3,0,0,0,47
252,347,2008,1,3,4,2025,1955,2120,2055,WN,2809,N335SW,55,60,43,25,30,LAX,LAS,236,4,8,0,N,0,0,0,0,0,25
253,348,2008,1,3,4,1423,1335,1519,1440,WN,3144,N272WN,56,65,42,39,48,LAX,LAS,236,5,9,0,N,0,11,0,0,0,28
256,351,2008,1,3,4,1928,1835,22,2345,WN,2208,N632SW,174,190,159,37,53,LAX,MCI,1363,6,9,0,N,0,17,0,0,0,20
257,353,2008,1,3,4,1713,1625,2242,2215,WN,108,N550WN,209,230,192,27,48,LAX,MDW,1750,7,10,0,N,0,5,0,0,0,22
259,356,2008,1,3,4,1453,1445,2130,2040,WN,771,N486WN,277,235,202,50,8,LAX,MDW,1750,64,11,0,N,0,0,0,42,0,8
262,360,2008,1,3,4,1030,1000,1142,1115,WN,184,N473WN,72,75,62,27,30,LAX,OAK,337,3,7,0,N,0,0,0,0,0,27
263,361,2008,1,3,4,2004,1900,2127,2015,WN,303,N683SW,83,75,66,72,64,LAX,OAK,337,4,13,0,N,0,0,0,13,0,59
